sender,receiver,receiver_2,event_day,rec_pub_day,rec_pub_year,rec_pub_day_2,rec_pub_year_2,lag,lag_2,jac_sim,jac_sim_2,cumu_cit_rec,cumu_cit_rec_2,rec_outd,rec_outd_2,tfe,tfe_2,sim,sim_2
4470408,4232662,4021621,3176,1776,1980,488,1977,1400,2688,1.0,0.0,4,2.0,1,3,140,1918.0,0.5599583387374878,0.16848160326480865
4482543,4235771,4038954,3239,1790,1980,579,1977,1449,2660,0.5,0.0,7,1.0,2,1,133,2660.0,0.39433571696281433,0.21509584784507751
4483925,4351800,4331914,3246,2462,1982,2336,1982,784,910,1.0,0.0,1,2.0,1,7,784,70.0,0.4729747176170349,0.1677486151456833
4506904,4223741,4165011,3372,1727,1980,1328,1979,1645,2044,0.0,0.0,2,6.0,3,1,980,189.0,0.4999045729637146,0.10702770948410034
4508797,4326016,4181551,3379,2301,1982,1461,1980,1078,1918,1.0,0.0,4,2.0,2,1,14,203.0,0.46798011660575867,0.2308725118637085
4508052,4370049,4126780,3379,2581,1983,1055,1978,798,2324,1.0,0.0,3,2.0,5,2,84,63.0,0.750065267086029,0.3828946053981781
4510369,4087921,4169439,3386,859,1978,1370,1979,2527,2016,0.0,0.0,3,5.0,1,2,0,91.0,0.31443122029304504,0.19082584977149963
4518733,4324710,4021621,3428,2294,1982,488,1977,1134,2940,0.5,0.0,5,2.0,2,3,140,2170.0,0.39400380849838257,0.09398476034402847
4522671,4117588,4055818,3449,1006,1978,663,1977,2443,2786,0.25,0.0,3,6.0,1,1,1043,483.0,0.3927852511405945,0.15476298332214355
4526928,4404323,4441004,3470,2812,1983,3015,1984,658,455,1.0,0.0,2,1.0,1,2,35,455.0,0.5920040011405945,0.18555645644664764
4525904,4094483,4189201,3470,894,1978,1510,1980,2576,1960,1.0,0.0,8,3.0,1,2,532,112.0,0.4150294363498688,0.38050633668899536
4527888,4456360,4074003,3477,3099,1984,775,1978,378,2702,1.0,0.0,2,1.0,5,1,112,2702.0,0.615493655204773,0.25546693801879883
4531467,4369722,4406210,3498,2581,1983,2826,1983,917,672,1.0,0.0,1,1.0,2,4,917,672.0,0.4686847925186157,0.18126288056373596
4557508,4491345,4279779,3631,3288,1985,2028,1981,343,1603,1.0,0.0,1,1.0,1,5,343,1603.0,0.5439545512199402,0.13862569630146027
4563417,4423153,4057734,3659,2917,1983,677,1977,742,2982,0.5,0.5,1,5.0,2,1,742,84.0,0.48101139068603516,0.22975102066993713
4569604,4428691,4115518,3694,2952,1984,992,1978,742,2702,1.0,0.0,2,9.0,3,2,392,147.0,0.39291590452194214,0.13643166422843933
4578080,4204284,4331877,3736,1608,1980,2336,1982,2128,1400,1.0,0.5,4,2.0,2,5,315,84.0,0.5259098410606384,0.24492184817790985
4583224,4403333,3996079,3757,2805,1983,341,1976,952,3416,0.0,0.0,2,4.0,1,1,483,1925.0,0.34717902541160583,0.22614406049251556
4591845,4486746,4349243,3799,3260,1984,2448,1982,539,1351,1.0,0.0,1,2.0,3,5,539,56.0,0.538500189781189,0.14277523756027222
4593319,4472744,4383281,3806,3183,1984,2686,1983,623,1120,1.0,0.0,5,1.0,1,5,21,1120.0,0.49156883358955383,0.29997989535331726
4598202,4471223,4118722,3834,3176,1984,1006,1978,658,2828,1.0,0.0,2,2.0,3,1,91,2065.0,0.3505241870880127,0.3749881982803345
4598130,4349658,4201139,3834,2448,1982,1587,1980,1386,2247,1.0,0.0,1,4.0,3,1,1386,224.0,0.5546674728393555,0.0395100861787796
4599867,4478275,4433625,3848,3218,1984,2980,1984,630,868,0.0,0.0,1,1.0,2,5,630,868.0,0.4878341853618622,0.2637624740600586
4602794,4460149,4246730,3862,3120,1984,1853,1981,742,2009,0.5,0.0,1,1.0,2,3,742,2009.0,1.0,0.31772729754447937
4603392,4293913,4212229,3862,2105,1981,1657,1980,1757,2205,0.3333333333333333,0.0,9,1.0,5,5,70,2205.0,0.6618492603302002,0.22491395473480225
4604700,4492112,4324623,3869,3295,1985,2294,1982,574,1575,0.0,0.0,3,1.0,2,2,273,1575.0,0.5677165389060974,0.1389250010251999
4609516,4482588,4311738,3897,3239,1984,2210,1982,658,1687,0.0,0.0,1,6.0,8,6,658,833.0,0.2601500451564789,0.27038896083831787
4615403,4320855,4376606,3932,2273,1982,2630,1983,1659,1302,0.3333333333333333,0.0,9,1.0,3,1,7,1302.0,0.5389746427536011,0.30921223759651184
4618593,4391880,4260091,3946,2742,1983,1923,1981,1204,2023,1.0,0.0,1,1.0,3,1,1204,2023.0,0.3703344762325287,0.125618577003479
